tahun	kdprov	urprov	kdpemda	urpemda	kdakun	urakun	kdkelompok	urkelompok	kdjenis	urjenis	kdobjek	urobjek	nilai
2024	11	Provinsi Jawa Tengah                              	28	Kab. Wonogiri	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	164658507800
2024	12	Provinsi DI Yogyakarta                            	02	Kab. Gunung Kidul	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	101559692200
2024	13	Provinsi Jawa Timur                               	10	Kab. Lamongan	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	217929522600
2024	13	Provinsi Jawa Timur                               	23	Kab. Sampang	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	124932212000
2024	15	Provinsi Kalimantan Tengah                        	11	Kab. Gunung Mas	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	44075430600
2024	27	Provinsi Maluku Utara                             	04	Kab. Halmahera Timur	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	45102216000
2024	27	Provinsi Maluku Utara                             	07	Kab. Kepulauan Sula	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	32886919800
2024	30	Provinsi Gorontalo                                	02	Kab. Gorontalo	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	104947886600
2024	33	Provinsi Sulawesi Barat                           	01	Kab. Majene	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	27537833600
2023	05	Provinsi Jambi	07	Kab. Tanjung Jabung Barat	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	99079758000
2023	07	Provinsi Bengkulu	02	Kab. Bengkulu Utara	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	178385537000
2023	08	Provinsi Lampung	03	Kab. Lampung Tengah	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	319165415000
2023	08	Provinsi Lampung	15	Kab. Pesisir Barat	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	94625929000
2023	10	Provinsi Jawa Barat	16	Kab. Tasikmalaya	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	399737802700
2023	11	Provinsi Jawa Tengah	19	Kab. Pemalang	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	261275195760
2023	13	Provinsi Jawa Timur	05	Kab. Bondowoso	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	224397404000
2023	13	Provinsi Jawa Timur	19	Kab. Pamekasan	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	202286998000
2023	15	Provinsi Kalimantan Tengah	07	Kab. Katingan	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	135105046000
2023	15	Provinsi Kalimantan Tengah	12	Kab. Pulang Pisau	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	81340442000
2023	17	Provinsi Kalimantan Timur	01	Kab. Berau	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	93677389000
2023	20	Provinsi Sulawesi Selatan	03	Kab. Bone	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	287820801350
2023	20	Provinsi Sulawesi Selatan	07	Kab. Jeneponto	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	82197107200
2023	21	Provinsi Sulawesi Tenggara	12	Kab. Buton Utara	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	61116609000
2023	22	Provinsi Bali	02	Kab. Bangli	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	60083252000
2023	23	Provinsi Nusa Tenggara Barat	02	Kab. Dompu	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	71658985000
2023	30	Provinsi Gorontalo	05	Kab. Bone Bolango	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	122626132000
2023	37	Provinsi Papua Pegunungan	04	Kab. Tolikara	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	423167940000
2023	37	Provinsi Papua Pegunungan	08	Kab. Nduga	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	208348932000
2024	01	Provinsi Aceh   	01	Kab. Aceh Barat	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	146338787200
2024	02	Provinsi Sumatera Utara                           	23	Kab. Humbang Hasundutan	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	59698299200
2024	03	Provinsi Sumatera Barat                           	01	Kab. Limapuluh Kota	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	50532394400
2024	05	Provinsi Jambi                                    	08	Kab. Tanjung Jabung Timur	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	35202122600
2024	06	Provinsi Sumatera Selatan                         	05	Kab. Ogan Komering Ilir	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	146448006400
2024	07	Provinsi  Bengkulu                                	07	Kab. Mukomuko	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	76600060800
2024	08	Provinsi  Lampung                                 	11	Kab. Pesawaran	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	75665042000
2024	11	Provinsi Jawa Tengah                              	10	Kab. Jepara	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	103604630200
2024	11	Provinsi Jawa Tengah                              	20	Kab. Purbalingga	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	133546864800
2024	11	Provinsi Jawa Tengah                              	25	Kab. Sukoharjo	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	81246605000
2024	12	Provinsi DI Yogyakarta                            	04	Kab. Sleman	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	70726202600
2024	13	Provinsi Jawa Timur                               	13	Kab. Magetan	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	127012881000
2024	15	Provinsi Kalimantan Tengah                        	03	Kab. Kapuas	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	92076717000
2024	16	Provinsi Kalimantan Selatan                       	04	Kab. Hulu Sungai Tengah	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	66983047800
2024	18	Provinsi Sulawesi Utara                           	15	Kab. Bolaang Mongondow Selatan	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	31512255000
2024	23	Provinsi Nusa Tenggara Barat                      	03	Kab. Lombok Barat	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	71580026200
2024	23	Provinsi Nusa Tenggara Barat                      	05	Kab. Lombok Timur	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	154573074400
2024	26	Provinsi Papua                                    	12	Kab. Keerom	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	40229271200
2024	32	Provinsi Papua Barat                              	09	Kab. Kaimana	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	41254532400
2024	33	Provinsi Sulawesi Barat                           	03	Kab. Polewali Mandar	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	42154850600
2024	36	Provinsi Papua Tengah	07	Kab. Intan Jaya	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	47740034400
2024	36	Provinsi Papua Tengah	08	Kab. Deiyai	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	31710711200
2024	15	Provinsi Kalimantan Tengah                        	14	Kab. Barito Timur	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	38574308200
2024	20	Provinsi Sulawesi Selatan                         	11	Kab. Pangkajene Kepulauan	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	33614035400
2024	20	Provinsi Sulawesi Selatan                         	13	Kab. Luwu Timur	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	56656558200
2024	20	Provinsi Sulawesi Selatan                         	20	Kab. Takalar	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	58347700000
2024	22	Provinsi Bali                                     	06	Kab. Karangasem	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	48965718600
2024	23	Provinsi Nusa Tenggara Barat                      	01	Kab. Bima	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	95468419200
2024	23	Provinsi Nusa Tenggara Barat                      	04	Kab. Lombok Tengah	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	100108018200
